fireviewer__fire-smoke-detection-corpus-v1/data/validation/validation-00000.parquet	835109395	1789685195.5753121670
fireviewer__fire-smoke-detection-corpus-v1/data/validation/validation-00006.parquet	1329015580	1789685507.8659229520
fireviewer__fire-smoke-detection-corpus-v1/data/validation/validation-00003.parquet	1482194071	1789685517.6349287130
fireviewer__fire-smoke-detection-corpus-v1/data/validation/validation-00005.parquet	1499718723	1789685581.7410881540
fireviewer__fire-smoke-detection-corpus-v1/data/validation/validation-00004.parquet	1488370587	1789685627.5610569320
fireviewer__fire-smoke-detection-corpus-v1/RIGHTS_AND_ATTRIBUTION.md	3920	1789683813.9780689920
fireviewer__fire-smoke-detection-corpus-v1/DATA_FILES_MANIFEST.json	7785	1789683814.0100669760
fireviewer__fire-smoke-detection-corpus-v1/README.md	5551	1789683814.0500644600
fireviewer__fire-smoke-detection-corpus-v1/.gitattributes	2876	1789683814.0940616920
fireviewer__fire-smoke-detection-corpus-v1/corpus-audit.json	3991	1789683814.0940616920
fireviewer__fire-smoke-detection-corpus-v1/SOURCE_SNAPSHOT_LEDGER.md	1746	1789683814.0980614410
fireviewer__fire-smoke-detection-corpus-v1/THIRD_PARTY_NOTICES.md	2941	1789683814.1100606860
fireviewer__fire-smoke-detection-corpus-v1/SOURCES_CHECKED.md	3281	1789683814.1180601830
fireviewer__fire-smoke-detection-corpus-v1/SOURCE_EVIDENCE.json	4436	1789683814.1340591760
fireviewer__fire-smoke-detection-corpus-v1/SOURCE_RIGHTS_MATRIX.csv	1535	1789683814.1420586730
fireviewer__fire-smoke-detection-corpus-v1/DEDUPLICATION_REPORT.json	2275	1789683814.1540579180
fireviewer__fire-smoke-detection-corpus-v1/manifests/alarmod/manifest.rtdetr.jsonl	13072466	1789685198.2952762470
fireviewer__fire-smoke-detection-corpus-v1/manifests/boreal/manifest.jsonl	8552185	1789685236.1427816600
fireviewer__fire-smoke-detection-corpus-v1/manifests/fasdd/manifest.jsonl	83451571	1789685220.3909863380
fireviewer__fire-smoke-detection-corpus-v1/manifests/pyro-sdis/manifest.jsonl	46993037	1789685256.4585200410
fireviewer__fire-smoke-detection-corpus-v1/provenance/alarmod/UPSTREAM_README.md	1579	1789685238.1587555810
fireviewer__fire-smoke-detection-corpus-v1/provenance/alarmod/preparation-report.json	3860	1789685239.0707437910
fireviewer__fire-smoke-detection-corpus-v1/provenance/boreal/SOURCE_MANIFEST.json	797	1789685240.0707308710
fireviewer__fire-smoke-detection-corpus-v1/provenance/boreal/VALIDATION_REPORT.json	501	1789685241.1827165120
fireviewer__fire-smoke-detection-corpus-v1/provenance/fasdd/quality-report.json	1888	1789685242.1467040700
fireviewer__fire-smoke-detection-corpus-v1/provenance/pyro-sdis/quality-report.json	923	1789685243.0226927690
fireviewer__fire-smoke-detection-corpus-v1/publication-manifest.json	17903	1789685244.6706715210
fireviewer__fire-smoke-detection-corpus-v1/publication-metadata-receipt.json	3322	1789685247.5026350490
fireviewer__fire-smoke-detection-corpus-v1/validation/strict-clean-validation-receipt.json	564	1789685249.8026054660
fireviewer__fire-smoke-detection-corpus-v1/validation/strict-clean-validation-summary.json	8645	1789685250.7785929220
fireviewer__fire-smoke-detection-corpus-v1/validation/strict-cleaning-summary.json	14648	1789685252.7385677500
hayden-yuma__roadwork/data/train-00006-of-00026.parquet	156463591	1789683308.1056346660
hayden-yuma__roadwork/data/test-00003-of-00005.parquet	286078977	1789683317.5097478870
hayden-yuma__roadwork/data/test-00001-of-00005.parquet	317689369	1789683373.1304145160
hayden-yuma__roadwork/data/train-00007-of-00026.parquet	157549559	1789683383.7865416700
hayden-yuma__roadwork/data/train-00008-of-00026.parquet	161005929	1789683387.3465841120
hayden-yuma__roadwork/data/train-00009-of-00026.parquet	156714419	1789683426.9350548240
hayden-yuma__roadwork/data/train-00002-of-00026.parquet	483422863	1789683443.6906188900
hayden-yuma__roadwork/data/train-00011-of-00026.parquet	148562412	1789683450.5338052780
hayden-yuma__roadwork/data/test-00002-of-00005.parquet	267366007	1789683463.7762589330
hayden-yuma__roadwork/data/train-00013-of-00026.parquet	151049408	1789683500.9361103910
hayden-yuma__roadwork/data/test-00000-of-00005.parquet	558529300	1789683502.5399374750
hayden-yuma__roadwork/data/test-00004-of-00005.parquet	293103645	1789683545.1075230900
hayden-yuma__roadwork/data/train-00010-of-00026.parquet	142020278	1789683550.7229652090
